lat,lon,likelydrum,plant_date
18.87273,78.868074,Transplanted,17jul2023
18.622768,79.072102,Likely Transplanted,
18.462952,79.169963,likely drum seeded,07jun2023
16.43059,78.017374,likely drum seeded,07jun2023
18.572749,79.165024,drum seeded,28jun2023
18.772503,79.207884,Transplanted,19jun2023
18.816016,79.034717,Transplanted,22jun2023
16.977084,77.816716,Transplanted,16jun2023
18.529923,79.067782,Transplanted,24jun2023
18.538343,79.408265,Transplanted,31may2023
16.317937,78.479212,Transplanted,
18.809579,79.015157,Transplanted,24jun2023
16.393471,78.524736,Transplanted,15aug2023
16.440587,78.641868,likely drum seeded,21jun2023
18.891202,79.14628,Transplanted,16jul2023
16.865218,77.838718,Transplanted,19jul2023
18.8547,78.877843,Transplanted,
18.805648,79.01126,Transplanted,14jun2023
16.303072,78.612414,Transplanted,05jul2023
16.307278,78.631428,Transplanted,29jul2023
18.688825,79.103282,Transplanted,13jul2023
18.827139,78.57564,Transplanted,29jun2023
16.578111,77.791259,Transplanted,16jul2023
16.315267,78.633118,Transplanted,23jul2023
18.352922,79.048799,Transplanted,25jul2023
16.638175,78.576801,Likely Transplanted,
18.765401,78.701053,Transplanted,26jul2023
18.211869,79.19732,Transplanted,05aug2023
16.117287,78.351173,Likely Transplanted,02aug2023
16.332605,78.590915,Transplanted,06jul2023
18.945848,78.564955,Likely Transplanted,
18.710569,78.688851,Transplanted,22jul2023
18.97478,79.039804,Transplanted,21jul2023
18.872937,78.557698,Likely Transplanted,
18.537,79.351011,Transplanted,28jul2023
16.375216,78.540659,Transplanted,29aug2023
16.45891,78.55923,Transplanted,21jul2023
16.895852,78.033986,Transplanted,09jul2023
18.933175,78.685523,likely drum seeded,20jul2023
16.645667,78.572626,Transplanted,20jul2023
16.315837,77.984621,likely drum seeded,24aug2023
16.565869,78.532119,likely drum seeded,17aug2023
18.544136,79.066649,Transplanted,28jul2023
16.852979,78.299152,drum seeded,10jul2023
18.859635,78.880707,Transplanted,20jun2023
18.531449,79.349663,Transplanted,22jul2023
18.301297,79.30952,Transplanted,14jul2023
18.678899,78.990653,Transplanted,01jun2023
18.709181,79.010266,Transplanted,28jul2023
16.660158,77.88343,Transplanted,21jun2023
18.795186,78.584263,drum seeded,03jul2023
18.698629,79.008131,likely drum seeded,20jul2023
18.706994,78.702806,Transplanted,05jun2023
16.661174,77.89155,Transplanted,13jul2023
18.630789,79.361814,Transplanted,07jun2023
18.832539,79.108617,Transplanted,25jul2023
18.482893,79.211985,likely drum seeded,05aug2023
16.063205,78.226023,Transplanted,07aug2023
18.821734,78.573908,Transplanted,15jun2023
16.143562,78.198221,likely drum seeded,06jul2023
16.785026,78.50866,Transplanted,21jul2023
18.911354,79.11052,Transplanted,15jun2023
16.331626,78.625122,Transplanted,06aug2023
16.700305,78.526262,likely drum seeded,16jul2023
18.712516,78.801693,Transplanted,15jul2023
16.161699,77.977276,drum seeded,03aug2023
18.378018,79.190298,likely drum seeded,
18.821679,78.570507,Transplanted,25jul2023
16.255646,78.096077,Transplanted,16jul2023
16.315796,78.182595,Likely Transplanted,
16.418466,77.723974,likely drum seeded,12jul2023
18.794511,78.585303,Transplanted,15jul2023
16.204022,78.091787,likely drum seeded,03aug2023
16.359781,78.526123,Transplanted,30jun2023
18.817603,79.030603,Transplanted,04jul2023
18.737493,78.666335,Transplanted,18jun2023
18.890713,79.151386,likely drum seeded,10jul2023
18.956054,78.928629,Transplanted,12jul2023
18.301557,79.310479,Transplanted,09aug2023
18.851105,78.750687,Transplanted,20jul2023
18.538156,79.070949,Transplanted,05jul2023
18.567888,78.968083,Transplanted,08jul2023
18.795599,78.84391,Transplanted,15jul2023
18.234172,79.320804,likely drum seeded,
16.625697,77.92423,Transplanted,15jun2023
16.715504,78.101423,Transplanted,27jul2023
16.445053,78.556331,likely drum seeded,09aug2023
18.504156,79.621889,Transplanted,20jul2023
18.703059,78.8034,Transplanted,05jul2023
16.119888,78.270629,Transplanted,
16.629062,77.910002,Transplanted,14jun2023
18.668402,79.47814,Transplanted,25jun2023
16.238301,78.354735,Transplanted,20aug2023
16.320549,78.473341,Transplanted,20jul2023
18.809534,79.004807,Transplanted,14jun2023
18.207561,79.170881,Transplanted,25aug2023
16.847765,78.043293,Transplanted,28jun2023
18.679985,78.989265,Transplanted,13jul2023
16.683509,77.935371,Transplanted,18jun2023
18.864438,78.971091,Transplanted,26jun2023
18.76048,78.706226,Transplanted,30jun2023
18.454841,79.085227,Transplanted,26jul2023
16.146951,78.198023,likely drum seeded,12jun2023
16.842613,77.959589,Transplanted,09jul2023
16.381936,78.451623,Transplanted,
16.616998,78.015145,Transplanted,23jun2023
18.810754,78.852142,Transplanted,16jun2023
16.4377,77.927328,Transplanted,08jun2023
18.87049,78.955055,Transplanted,15jul2023
16.332224,78.597891,Transplanted,22jul2023
18.382029,79.187722,Transplanted,20sep2023
18.489155,79.36406,Transplanted,31may2023
16.237212,78.341683,likely drum seeded,05jul2023
16.613931,78.565994,likely drum seeded,
16.446122,78.554332,Transplanted,21jun2023
16.193294,78.150107,Transplanted,09jun2023
16.203891,78.091805,drum seeded,27jul2023
16.520773,78.485315,likely drum seeded,
18.214559,79.167373,Transplanted,20jun2023
16.446277,78.717133,Transplanted,29jul2023
16.339454,78.578603,Transplanted,23aug2023
16.159974,78.117795,likely drum seeded,26jul2023
16.688338,78.022756,Transplanted,04aug2023
18.671028,79.108475,Transplanted,14jul2023
18.934139,78.768588,Transplanted,17jun2023
16.336326,78.171039,drum seeded,31jul2023
18.952757,78.564256,Transplanted,26jul2023
16.422157,78.104209,drum seeded,19jun2023
18.49133,79.378526,Transplanted,20jul2023
18.559979,79.137182,Transplanted,18jul2023
18.745027,78.812582,Transplanted,25jun2023
16.354595,78.116163,Transplanted,20jun2023
18.216693,79.178547,Transplanted,26jun2023
18.492194,79.316752,Transplanted,04jul2023
18.530252,79.270653,likely drum seeded,07jun2023
16.241472,78.350819,likely drum seeded,20aug2023
16.691609,78.5451,Transplanted,07aug2023
16.376314,78.450117,Transplanted,
18.855091,78.966696,Transplanted,12jun2023
18.690527,78.982031,Transplanted,02jun2023
16.457787,78.550216,Transplanted,15jul2023
16.614445,78.65541,likely drum seeded,22jun2023
16.166757,78.416885,likely drum seeded,
18.261795,79.525032,Transplanted,20jun2023
18.52249,79.454986,Transplanted,
16.167241,77.988899,Transplanted,13aug2023
16.66639,78.079767,likely drum seeded,04jul2023
16.161319,78.117791,likely drum seeded,06aug2023
16.66262,77.876128,Transplanted,18jun2023
16.671754,77.886413,Transplanted,18jun2023
18.681548,79.318513,Transplanted,10jun2023
16.092651,78.217301,likely drum seeded,23jul2023
18.351879,79.048297,Transplanted,25jun2023
18.381501,79.188913,Transplanted,
16.444649,78.693563,Transplanted,05jul2023
18.482812,79.37095,Transplanted,12jul2023
16.873034,78.078412,Transplanted,
16.494272,77.810668,Transplanted,03aug2023
19.010147,78.98616,Transplanted,12aug2023
18.786157,78.597555,likely drum seeded,18jul2023
18.742097,78.665168,Transplanted,01jul2023
16.448239,78.653121,drum seeded,11aug2023
16.118395,78.143513,likely drum seeded,30jul2023
18.987224,79.034385,Transplanted,24aug2023
16.141872,77.989084,likely drum seeded,
16.842546,78.047649,Transplanted,27jun2023
18.922811,78.581503,Transplanted,16jun2023
16.371164,78.533519,Transplanted,05jul2023
16.160355,78.126543,Transplanted,04sep2023
16.440078,78.655266,Transplanted,
18.589619,78.941279,Transplanted,15jul2023
16.325042,78.611377,Transplanted,08jul2023
16.494096,77.810464,Transplanted,14jul2023
18.915493,78.777548,Transplanted,25sep2023
18.808658,79.02879,drum seeded,10jun2023
18.46633,79.474941,Transplanted,27may2023
16.834858,78.107317,Transplanted,19jul2023
16.255087,78.05442,likely drum seeded,07jul2023
16.671158,78.087137,drum seeded,27jun2023
18.537242,79.493338,Transplanted,08jun2023
18.598588,78.950253,Transplanted,15jun2023
18.854542,79.073033,drum seeded,20jun2023
16.788049,78.178548,Transplanted,07jun2023
16.442734,78.722376,Transplanted,29jul2023
16.119657,78.255934,drum seeded,30aug2023
16.175683,78.310137,likely drum seeded,02jul2023
16.317583,78.483414,Transplanted,12aug2023
18.840852,79.112357,Transplanted,18jun2023
16.316778,78.557476,Transplanted,23jul2023
16.940012,78.077925,Transplanted,27jul2023
18.766682,79.205289,Transplanted,30jul2023
18.581631,79.01238,Transplanted,23jul2023
16.409425,78.599528,drum seeded,08aug2023
16.124481,78.349795,likely drum seeded,09jul2023
16.701644,78.539322,Transplanted,16jun2023
18.277534,79.210577,Transplanted,16jul2023
18.885131,79.147997,Transplanted,01jul2023
18.634719,79.071146,Transplanted,
16.872902,78.079257,Transplanted,26jun2023
16.163842,78.129641,likely broadcasted,01jun2023
18.289865,79.212193,likely drum seeded,16jul2023
18.675676,79.613592,Transplanted,24jun2023
18.879333,78.551951,Transplanted,01jul2023
18.529967,79.068831,Transplanted,16jul2023
18.632207,79.069925,Transplanted,26jul2023
16.240097,78.086951,Transplanted,04aug2023
18.892193,79.1412,Transplanted,08jul2023
18.513565,78.962861,Transplanted,02jul2023
16.215417,78.228017,likely drum seeded,08jun2023
18.702073,78.976904,Transplanted,25jun2023
18.772825,79.213748,Transplanted,12jun2023
18.466869,79.474317,Transplanted,20jul2023
18.506085,79.200815,Transplanted,
16.128697,78.353664,drum seeded,25jul2023
18.741105,78.618914,Transplanted,01may2023
16.589978,78.042632,likely drum seeded,15jun2023
18.402477,79.554875,drum seeded,
16.680015,77.929664,Transplanted,18jun2023
18.637372,79.390315,Transplanted,
16.838889,78.033406,Transplanted,09jul2023
16.140741,77.989852,likely drum seeded,
16.379471,78.601169,Transplanted,12jul2023
18.305194,79.309704,Transplanted,02jun2023
18.833246,79.06145,Transplanted,05jun2023
18.622685,79.659814,likely broadcasted,10jul2023
18.454539,79.085327,Transplanted,26jul2023
18.946745,78.564313,Likely Transplanted,
