district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"KARIMNAGAR","THIMMAPUR","Parlapally",17,79.21121599999999,18.2904752,0,116.1,1,1,.01587772,263
"JAGTIAL","Endapalli","Kothapet",5,79.20536079999999,18.7666518,202.1,4.233,0,0,.016475812,36
"NAGARKURNOOL","BIJINAPALLY","Gouraram",17,78.1311333,16.5785564,475.4,3.9,0,0,.016476432,115
"WANAPARTHY","PANGAL","Kethepally",6,78.1498757,16.193288,270.891,3.911,0,0,.016808057,183
"JAGTIAL","GOLLAPALLE","Vengalapur",4,79.0041018,18.8097166,330.1,4.05,0,0,.016920632,283
"NAGARKURNOOL","BIJINAPALLY","Gouraram",23,78.1311067,16.578555,474.7,3.9,0,0,.017650008,115
"WANAPARTHY","PANGAL","Remuddula",4,78.1821162,16.3164539,417.2,3.9,0,0,.018443637,176
"NAGARKURNOOL","VELDANDA","Peddapur",4,78.5210573,16.7962155,416.855224609375,3.884,1,1,.01864703,162
"WANAPARTHY","GOPALPET","Munnanoor",6,78.11595026403666,16.35451173422002,0,0,0,1,.018687945,172
"JAGTIAL","RAIKAL","Alipur",14,78.86787,18.8725983,304.1,3.9,0,1,.019102225,344
"KARIMNAGAR","CHIGURUMAMIDI","Sundaragiri",1,79.19165219999999,18.1984148,333.2,3.9,1,2,.019536834,214
"JAGTIAL","RAIKAL","Itkial",4,78.77630360000001,18.9270324,246.7,3.9,0,0,.019790258,340
"JAGTIAL","IBRAHIMPATNAM","Dabba",6,78.5592649,18.8723064,313.1,3.9,0,0,.019815968,297
"JAGTIAL","IBRAHIMPATNAM","Eradandi",8,78.56498190000001,18.94591,296.3,3.9,0,0,.019978361,287
"PEDDAPALLI","SULTANABAD","Ramunipalli",5,79.367581,18.4870475,165.7,4.568,0,0,.021258283,368
"KARIMNAGAR","CHIGURUMAMIDI","Gunukulapalli",10,79.16748459999999,18.2147213,318.2,3.9,0,0,.021564899,217
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",12,79.16996330000001,18.4629522,0,1346.528,1,2,.021754177,246
"NAGARKURNOOL","KOLLAPUR","Chinthalapally",3,78.2560735,16.119564,236.2252197265625,3.979,1,0,.022067308,125
"NAGARKURNOOL","PEDDAKOTHAPALLE","Sathapur",6,78.3384963,16.2223608,352.2,3.9,1,1,.022105379,137
"JAGTIAL","DHARMAPURI","Rayapatnam",5,79.1461245,18.8913633,113,3.42,0,0,.022757173,40
"NAGARKURNOOL","ACHAMPET","Chandapur",7,78.7223329,16.4425931,394.1,3.9,0,2,.023582466,94
"NAGARKURNOOL","VELDANDA","Kotra",5,78.5530754,16.6922702,402.42822265625,4.313,1,0,.02394389,165
"WANAPARTHY","PEDDAMANDADI","Peddamandadi",9,78.01734209999999,16.4302691,294.457,12.699,1,2,.02544938,189
"JAGTIAL","METPALLI","Rajeshwar Raopet",2,78.5759345,18.8273373,318.8,3.44,0,0,.025906794,16
"PEDDAPALLI","SULTANABAD","Ramunipalli",1,79.378325,18.49118,165.5,11.163,0,1,.026219029,369
"KARIMNAGAR","CHIGURUMAMIDI","Sundaragiri",2,79.1710123,18.2076222,312.3,3.9,0,0,.026276616,212
"KARIMNAGAR","GANGADHARA","Sarvareddypally",5,79.0721635,18.6228956,242.939453125,4.626,0,0,.026630238,222
"NAGARKURNOOL","BALMOOR","Kondanagula",1,78.6109148,16.3249794,492.1,3,0,1,.026954399,111
"MAHABUBNAGAR","NAWABPET","Malreddy Palli",1,78.0792204,16.8729559,491.3000000000001,7.222,0,2,.027166162,78
"JAGTIAL","KATHLAPUR","Posanipet",5,78.70309349999999,18.7070432,344.8,3.9,0,0,.027577994,316
"NAGARKURNOOL","KALWAKURTHY","Raghupati Pet",9,78.4853318,16.5208674,342.5228271484375,3.842,1,0,.027690774,117
"NAGARKURNOOL","UPPUNUNTHALA","Marripally",1,78.5653385,16.4572505,447.1,3.9,0,2,.027949953,150
"NAGARKURNOOL","BALMOOR","Thummanpet",2,78.5247742,16.3935886,391.1585083007813,3.9,0,0,.027954621,96
"WANAPARTHY","PEBBAIR","Sugur",6,77.98911459999999,16.1418474,195.9,5.868,1,0,.028169183,5
"PEDDAPALLI","SRIRAMPUR","Jaferkhanpet",4,79.492803,18.5375975,122.9,4.423,0,0,.028499978,359
"KARIMNAGAR","CHIGURUMAMIDI","Gunukulapalli",1,79.16749609999999,18.2147175,327.6,3.9,0,1,.028556665,217
"JAGTIAL","GOLLAPALLE","Rapalli",1,79.03477770000001,18.8158701,147,5.624,0,1,.028662639,277
"JAGTIAL","RAIKAL","Itkial",7,78.77751670000001,18.9154077,240.3,4.016,0,2,.028913639,341
"NAGARKURNOOL","PEDDAKOTHAPALLE","Peddakarpamula",9,78.3934107,16.3031572,333.24462890625,3.881,0,0,.029445754,132
