c3_crop_name_kharif,crop_name,varities_grown_khrf,varities_grown_rabi,varities_grown_khrf23,plant_date_kharif,plant_date_rabi,plant_date_sumr,plant_date_kharif23,key,crop_area_kharif23,crop_area_kharif,crop_area_rabi,crop_area_summer
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,20jun2023,20dec2022,,20jul2023,uuid:02425ae3-795c-4c70-a6f7-8deec416d762,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,1,20jun2023,20sep2022,,20aug2023,uuid:02425ae3-795c-4c70-a6f7-8deec416d762,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),1,20jun2022,18dec2022,,19jun2023,uuid:0295a9b5-7df0-4313-b115-4a74c8034f5b,5,5,2,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,22jun2022,,,21jun2023,uuid:02ab753c-3612-4106-a5bf-9a174ef5bcc3,1,1,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,22jun2022,,,21jun2023,uuid:02ab753c-3612-4106-a5bf-9a174ef5bcc3,1,1,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),2 12,21sep2023,20dec2022,,21jul2023,uuid:02ae8dcc-c7bd-4bce-ba9c-6c3d38b5f570,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:02c7ae08-776f-4137-a1f5-250d09152c85,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,12jul2022,14jan2022,,12aug2023,uuid:02c7ae08-776f-4137-a1f5-250d09152c85,3.5,5,5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,1,,,,21jul2023,uuid:02da15b1-85d4-4823-b955-babb12e750fd,4,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,10jul2022,15dec2022,,20jul2023,uuid:0308a662-49bd-4792-a5e9-cef76e8c6cc4,1.375,1.375,1.375,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:0311130f-15e5-4435-87f3-0a71882ea1d0,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12 32,Jagtial Rice-1 (JGL 24423),12,18jun2023,22nov2022,,04jun2023,uuid:0311130f-15e5-4435-87f3-0a71882ea1d0,20,20,20,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,06jun2022,06dec2022,,06jul2023,uuid:035097e1-1461-4155-8765-9b1f7e62a410,6,6,6,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:036c6021-b279-4884-b847-4e8bec69cd6f,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),32,Cotton Dora Sannalu (MTU 1010),99,20jul2022,10jan2023,,14jul2023,uuid:036c6021-b279-4884-b847-4e8bec69cd6f,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,12,,,,05aug2023,uuid:0382b798-563e-4458-85a0-e2f50aee18b5,1.775,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,12,,,,05aug2023,uuid:0382b798-563e-4458-85a0-e2f50aee18b5,1.775,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:03a54bbc-089a-4d57-8770-97284f87badc,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),17 99,Other,22 99,20jul2023,20dec2022,,15jul2023,uuid:03a54bbc-089a-4d57-8770-97284f87badc,4,4,4,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,Telangana Sona (RNR 15048),,,28oct2022,,,uuid:03a685db-bd85-4d68-828b-1668f8a3e611,0,0,1,0
,,,,,,,,,uuid:03e72ab1-93a2-4e8c-a0f4-c8f32cfc78e6,,,,
,,,,,,,,,uuid:03e72ab1-93a2-4e8c-a0f4-c8f32cfc78e6,,,,
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),32,Cotton Dora Sannalu (MTU 1010),32,29jun2022,01jan2023,,28jun2023,uuid:03f2655b-8157-416a-8c9e-cef0de32f3d3,1,1,1,0
1012,వెదజల్లిన పధ్ధతి లో  వరి  (paddy),1,,1,06jun2022,,,29jul2023,uuid:04077e81-98b1-4477-8a15-7deb33297618,6,6,0,0
1013,దమ్ము చెయ్యకుండా నేరుగా విత్తిన వరి (paddy),,,12,,,,01aug2023,uuid:048038be-e052-47cb-b9db-30a5f2df0867,1,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,23jul2022,,,23jul2023,uuid:0484df94-5925-4bdb-9a23-de5f05610556,2,2,0,0
1101,పత్తి,,,,,,,,uuid:0484df94-5925-4bdb-9a23-de5f05610556,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,,,09jun2022,,,,uuid:04ad2993-ec2e-4a63-8ff2-88b22219384d,0,.75,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),11,Telangana Vari-8 (WLG 1487),11,25jun2022,04dec2022,,30jun2023,uuid:04beb510-6718-4d53-bf9c-0139b761c92b,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,Telangana Sona (RNR 15048),,,05jul2023,,,uuid:0562513a-4009-4dbf-9395-897515eba6b6,0,0,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),2 12,15sep2023,25jan2023,,20jul2023,uuid:056424fd-aca8-40df-9d44-72bc19f77680,3.25,3.25,3.25,0
,,,,,,,,,uuid:056424fd-aca8-40df-9d44-72bc19f77680,,,,
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),1,14may2022,14sep2022,,14jun2023,uuid:057a12ad-e5b1-4ee3-ad83-924adfe8ecda,3,2,3,0
1014,,99,Other,99,12jul2022,12jan2023,,13jul2023,uuid:057f68c5-272d-4793-990c-0b747ce7f81e,2,2,2,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),44,Rajendranagar Vari-5 (RNR 29325),2,22sep2023,22jul2022,,22jul2023,uuid:0591fd9c-e57c-47c9-ac06-804ddfa1ab60,4.2750001,4.2750001,4.2750001,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:059a6b38-6f66-4edd-9c5a-4af31e954802,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,22jul2023,11jan2023,,04jun2023,uuid:059a6b38-6f66-4edd-9c5a-4af31e954802,1,1,3,0
1001,groundnut,,,,,,,,uuid:05a8abf3-1597-4ebd-8b65-9e6d5657792b,0,0,20,0
